Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
5/1/2009,2.629844089,2.742387585,2.62754723,2.680373907,84054800,0,0
5/4/2009,2.726310911,2.845745025,2.68956202,2.825073719,92770400,0,0
5/5/2009,2.763058713,2.781433151,2.652812084,2.710232258,83707600,0,0
5/6/2009,2.740091252,2.765356054,2.602282722,2.655109406,93508800,0,0
5/7/2009,2.714825977,2.714825977,2.430021943,2.464473963,128919600,0,0
5/8/2009,2.411647139,2.411647139,2.092390915,2.124546289,293056400,0,0
5/11/2009,2.090094643,2.218715724,2.071720203,2.165889263,103859600,0,0
5/12/2009,2.214121859,2.214121859,2.021190051,2.062532425,120138400,0,0
5/13/2009,2.048751524,2.060235601,1.913239898,1.929317474,130560800,0,0
5/14/2009,1.927021451,1.998222357,1.913240511,1.956879973,101786400,0,0
5/15/2009,1.970660456,2.07631359,1.947692298,2.007409334,78030800,0,0
5/18/2009,2.057938797,2.142920618,2.053345078,2.1291399,93832000,0,0
5/19/2009,2.142921448,2.195748136,2.108469422,2.170483112,85976800,0,0
5/20/2009,2.209528859,2.354227762,2.200341637,2.234793663,130943600,0,0
5/21/2009,2.207230942,2.250870387,2.158997997,2.221011877,96560000,0,0
5/22/2009,2.221013004,2.287620416,2.179670396,2.255465031,71826000,0,0
5/26/2009,2.23479313,2.395569797,2.211825191,2.377195358,86554000,0,0
5/27/2009,2.365711863,2.452990578,2.342743699,2.381789446,81415200,0,0
5/28/2009,2.418538461,2.434616264,2.310588656,2.41394496,99528800,0,0
5/29/2009,2.416242062,2.420835564,2.312885529,2.395570755,83423200,0,0
6/1/2009,2.423131884,2.526488174,2.413944663,2.512707233,102276400,0,0
6/2/2009,2.512706225,2.567829748,2.446098845,2.492035151,90798400,0,0
6/3/2009,2.45988107,2.469068292,2.354227907,2.41394496,73568800,0,0
6/4/2009,2.420834287,2.50581611,2.418537428,2.50122261,67318000,0,0
6/5/2009,2.547159541,2.547159541,2.45758397,2.487442493,55999200,0,0
6/8/2009,2.469067703,2.508113443,2.411647524,2.473661423,47394800,0,0
6/9/2009,2.508113175,2.636734239,2.489738737,2.609172583,72503200,0,0
6/10/2009,2.622953795,2.707935633,2.565533616,2.691858053,83332000,0,0
6/11/2009,2.698748695,2.802104984,2.64132851,2.657406092,83515600,0,0
6/12/2009,2.61835953,2.652811762,2.558642723,2.643624544,59500000,0,0
6/15/2009,2.595392099,2.629844118,2.554049501,2.5999856,44516400,0,0
6/16/2009,2.599985161,2.632140535,2.492035402,2.528784275,59491200,0,0
6/17/2009,2.567830674,2.616063637,2.469067889,2.590798616,79901600,0,0
6/18/2009,2.581611037,2.629843993,2.512706783,2.54026866,56637600,0,0
6/19/2009,2.565533226,2.632140615,2.533377852,2.567830086,74756400,0,0
6/22/2009,2.577017048,2.577017048,2.413943772,2.423130989,57486400,0,0
6/23/2009,2.446100304,2.450694025,2.317479185,2.411648273,58976400,0,0
6/24/2009,2.441505346,2.549455313,2.441505346,2.492035151,51509600,0,0
6/25/2009,2.469067789,2.627547392,2.443802988,2.622953892,87044400,0,0
6/26/2009,2.611469987,2.666593313,2.588502045,2.657406092,51395600,0,0
6/29/2009,2.664296672,2.705639056,2.629844429,2.657406092,51005600,0,0
6/30/2009,2.648218135,2.684967009,2.544861875,2.593094826,58984400,0,0
7/1/2009,2.609172949,2.63903147,2.560939988,2.604579449,69642000,0,0
7/2/2009,2.519597333,2.551752491,2.469067518,2.503519535,55231200,0,0
7/6/2009,2.501222448,2.503519088,2.3817884,2.423130989,75245600,0,0
7/7/2009,2.432318774,2.446099494,2.310588058,2.317478418,107299600,0,0
7/8/2009,2.331259249,2.338149829,2.230199828,2.322072029,120586000,0,0
7/9/2009,2.361117194,2.411647002,2.354226835,2.372601271,71456400,0,0
7/10/2009,2.372602224,2.397867029,2.322072396,2.381789446,52000800,0,0
7/13/2009,2.430022414,2.430022414,2.285323509,2.40935111,55601200,0,0
7/14/2009,2.427725445,2.46906805,2.400163782,2.459880829,45256800,0,0
7/15/2009,2.549455929,2.611469606,2.52648777,2.560939789,102280800,0,0
7/16/2009,2.588501819,2.703342178,2.574720879,2.694154739,95207600,0,0
7/17/2009,2.69415534,2.78143406,2.666593674,2.772246838,85035600,0,0
7/20/2009,2.795214243,2.836556841,2.758465365,2.806698322,78275600,0,0
7/21/2009,2.799808637,2.811292719,2.684968246,2.749279022,94129600,0,0
7/22/2009,2.694154445,2.843447028,2.675780006,2.81818223,60090800,0,0
7/23/2009,2.822775834,2.995036361,2.792917316,2.985849142,104612000,0,0
7/24/2009,2.893977642,2.985849857,2.875603199,2.976662636,65059200,0,0
7/27/2009,2.949099452,3.034081263,2.921537802,2.990442038,67748400,0,0
7/28/2009,2.969771565,3.027191741,2.944506548,2.995036364,56318000,0,0
7/29/2009,2.960584923,2.978959365,2.905461377,2.935319901,37397200,0,0
7/30/2009,2.985849617,3.02489536,2.933023152,2.958287954,46844400,0,0
7/31/2009,2.958287544,3.011114002,2.889383288,2.969771624,54156000,0,0
